Region,Elevation,Slope,Aspect,Soil Type,Land Cover,Avg Annual Temp,Avg Annual Precip,GDD,Seasonal Precip Variability,Solar Radiation,Wind Speed,Humidity,Suitability Index
Russia,124,29.357670909574047,171.11905707890043,Clay,Cropland,27.387497478860766,1683,1604,37.111051875509226,23.394141410820446,3.6145645903581887,50.58734030019009,0.8
Russia,1538,15.8177098391998,184.83531528784505,Loam,Cropland,0.557639177453213,984,1314,22.08154505524906,14.729777830817838,1.0320687484897246,78.31448904779742,0.6
Russia,1269,11.588725654140733,143.9642425845662,Loam,Urban,19.38193184252263,1579,600,31.822999399818425,18.755981423019797,4.52859180398542,68.00606030793169,0.6
Central Asia,2207,15.875872901502031,30.96970554032169,Peat,Grassland,-2.779714412,272,1836,25.808177924713277,20.477443852389833,2.4030313665687224,73.90649213055667,0.4
South Asia,1268,6.195353818854575,357.7213339222464,Clay,Grassland,3.9792327401763217,377,1850,44.55600921210879,23.96521447842769,6.827756564490117,63.02525891022175,0.4
South Asia,2346,11.172355308565688,60.299832899567264,Clay,Grassland,-0.926468901,1618,1215,34.041053214323945,28.327037688100695,4.986892057580275,85.41183714905341,0.6
Eastern Europe,1569,22.11568466016949,77.50792203429664,Peat,Cropland,-3.30351424,1611,1966,25.416447492918127,19.132616216735613,5.248664431906303,70.30144909040598,0.6
Eastern Europe,2406,14.467620415368428,27.23204670122783,Sandy,Cropland,2.0958079058008483,1220,552,23.226029469924605,12.343730701763686,6.1994839557490895,83.67419148881422,0.6
Central Asia,1352,1.6907589748580487,18.456888618954586,Clay,Grassland,15.643952904314563,679,533,25.724104166765336,16.438077427760568,2.3611414467316885,67.93947108167524,0.6
Russia,123,19.988362859798638,254.24508424029736,Loam,Grassland,20.268412184822232,1844,1011,30.50744865891248,26.193991868173093,1.942965075109309,83.97039597898389,0.8
Russia,1037,27.90557028347006,347.5422502586839,Sandy,Urban,32.88186043484637,1517,1726,32.8942982102905,20.549522785021765,3.7132613351363397,86.36317997047291,0.4
Eastern Europe,2371,24.98198135575727,261.268836792374,Loam,Urban,6.9319839460690815,1975,954,43.37801734780344,29.960862148413224,4.817779848114047,54.82196575838619,0.6
South Asia,1266,6.888412073242063,213.8604287104975,Clay,Urban,28.105626790797693,1204,1714,27.96729864144099,14.543377557998733,6.912017499839686,61.238047886981285,0.8
Eastern Europe,2362,8.78552524521923,159.33786141145944,Loam,Grassland,2.2258967879747837,498,1760,35.6709892698042,17.90808634848165,2.972694039889115,62.62549833216958,0.4
Russia,955,9.399712969386734,341.7711178544179,Clay,Grassland,8.214341596498262,498,1407,40.380099468936756,13.667940670879046,1.835758256291129,64.23743811698736,0.4
Western Europe,1087,7.889646488507052,8.361817124986013,Clay,Grassland,0.8781316462625632,1706,1824,21.27577289479781,11.999536785030882,1.5310005408201586,61.8720063601659,0.6
Central Asia,888,27.2731525277523,58.27442056682799,Clay,Cropland,-1.73888428,557,1762,40.90766228373249,16.3120285991756,2.6072448244087267,71.33890910350225,0.6
Eastern Europe,1499,16.840038547546097,271.255348032208,Peat,Urban,9.969200026668004,1546,1229,46.48993619111443,23.29692532094723,6.6279508112788665,52.47604190618297,0.6
Central Asia,1934,0.5689826053554425,237.56736868122115,Sandy,Urban,31.310159916920114,1644,1475,37.596433079349396,11.392408961587428,5.788958172618387,72.33179690657835,0.4
Western Europe,1936,8.066919862966555,58.06109855602777,Peat,Grassland,-0.265541683,1861,1098,34.249588310001876,12.143490517662677,1.8050852037833216,67.35306557164216,0.6
Russia,1703,14.110463040867021,92.34634206026769,Loam,Forest,22.880630352097366,1343,1183,25.76073548309239,21.787647426945057,6.6900741552035905,65.00517617614989,0.8
South Asia,152,5.467999104904596,228.38585200184255,Clay,Cropland,6.78891144626653,880,1721,43.32599080865747,22.97032344691789,1.3280242129144553,84.45082908926508,0.6
Western Europe,2375,4.94740979794082,123.62054857157364,Clay,Cropland,8.320904313181234,885,1088,36.669843345722626,16.025241657242105,4.0632942385756285,81.37262484346871,0.6
South Asia,1337,6.903314476174697,341.46076123877634,Clay,Forest,21.442640554286925,321,891,22.163419131888666,10.47723108696424,0.49934738986937655,55.739575790641496,0.4
Russia,2220,9.968221013546518,175.32699734978468,Peat,Urban,26.832224491857414,824,1512,34.53150341113323,19.873792212183083,2.007992385365301,67.41225613345769,0.8
Eastern Europe,711,24.263867399186086,293.9303590687448,Clay,Cropland,23.833294361169987,1153,1983,21.070137977235753,14.91995955142092,5.433721696119939,54.11920799700583,0.8
Western Europe,1415,11.49511938482379,257.9415507027695,Clay,Forest,17.52689239084281,1508,987,33.689775481231834,26.30302750750345,4.050842571184265,73.5600825167608,0.6
Eastern Europe,304,20.58399713037209,160.09155748412192,Sandy,Cropland,7.53970879806352,1907,1047,36.11740973394443,18.45589314646634,6.140592867063422,53.69903856020445,0.6
Eastern Europe,1474,6.241820853553578,99.04493829917158,Loam,Cropland,31.508528019270862,1880,1462,22.169874010476324,21.524714170265526,2.821304355184067,63.35245821964954,0.4
Western Europe,1235,14.169494029405373,273.26403561652654,Loam,Grassland,3.634784718615549,1206,628,34.45567001471306,17.505173845362144,0.7412878968604736,53.04954337449367,0.6
Central Asia,1562,17.05261577697264,335.38797947602916,Peat,Urban,23.81719958256784,981,527,28.536321218799067,13.3283033073209,6.7801903472221765,80.60728082493576,0.8
Eastern Europe,1514,3.148734365535588,63.6380898659671,Sandy,Cropland,1.4812769226299594,985,1529,34.84891752195632,29.194996979863184,5.7762404304987065,74.8796546141694,0.6
Russia,1491,4.165102339606447,117.96949171652759,Peat,Grassland,6.786783897172931,1614,1691,44.743584271397026,29.097048431329114,0.2459339726977795,51.10313157667362,0.6
Eastern Europe,1512,24.998220218662286,34.358998862343626,Loam,Urban,21.04844503019843,542,1847,22.77139510007182,15.740722018031763,1.2448243047785066,73.13590649192375,0.6
Russia,857,19.77190726688896,287.98430452471587,Peat,Cropland,12.119130982663005,202,1746,40.01753882428106,27.939094266588544,4.486590724579586,77.10995919597744,0.4
South Asia,298,1.38918881893622,93.80798008836007,Clay,Forest,16.67786326511937,1738,942,24.508021531886293,13.195988431089994,3.2068613626315208,87.90526933332865,0.6
South Asia,524,0.16630723757673493,107.05449418783898,Clay,Urban,17.068999843552145,1046,831,40.946836610960396,13.21888929833565,6.103610898474469,87.26120403641816,0.6
Central Asia,1990,27.840510965936765,201.52382883461337,Sandy,Urban,19.00056077947378,255,570,22.406606311346742,18.461058666957545,2.750325216884981,60.985204964475116,0.4
Eastern Europe,838,4.292077185336902,213.84163652317733,Clay,Cropland,27.20474870258178,415,893,47.33294530095681,26.16914609035212,6.287223018326437,73.21647100278742,0.4
Central Asia,859,15.26190045349317,150.23242216696346,Loam,Grassland,19.110582375554923,1509,651,34.74125651922847,15.98383529954252,2.127631458120164,61.7759575833349,0.6
Central Asia,1933,25.53401986382419,193.31540916043065,Peat,Cropland,3.746297378141561,443,1330,41.11023405770656,14.61290659268533,1.9761314162406516,89.53754086983585,0.4
South Asia,269,24.774771398966884,173.87370794451115,Loam,Cropland,6.260173675590789,1092,544,26.35555678279748,27.451085232826564,1.4331953643344857,52.865045755504255,0.6
Eastern Europe,1354,13.803902000436814,88.23211833708501,Peat,Urban,12.487377014427206,361,1458,36.67380078892229,26.08248268269076,5.16887662242021,52.42633288638048,0.4
Western Europe,1070,7.832000826024562,81.81666017941131,Sandy,Forest,21.91098675574826,1628,525,39.71362304258047,19.09098174945013,4.358614328693791,82.14540661265804,0.8
Russia,916,8.890848288321337,336.97391552554706,Clay,Forest,-2.539428982,992,1714,47.27946911361557,21.992770878280815,0.9247054824425265,53.16610370718755,0.6
South Asia,355,26.443256292150764,207.61132953285818,Peat,Urban,2.8561806274430124,1801,645,36.10213131316253,11.47330571299436,3.5688156081009215,73.29944762619851,0.6
South Asia,2175,15.075175266754409,156.5968631953972,Clay,Cropland,24.823624506353642,1219,1601,27.00759026409667,12.861816366829764,3.6889992698619114,77.47566596527784,0.8
Russia,793,28.075998980799152,179.86586641183996,Peat,Urban,0.9114256770715512,1240,1839,46.06765754095831,11.200462128808471,5.655911030256682,89.03202197696933,0.6
Eastern Europe,183,1.251278713542101,147.77503842605338,Peat,Forest,14.88975627619087,502,1479,39.755241985001504,17.469588991691612,6.577732343691271,72.42736906982623,0.6
Western Europe,400,24.719492254282503,224.58996594595712,Peat,Urban,11.283566882394332,1464,1795,39.25882461616291,28.21112680004652,4.641409419649431,60.255809886761675,0.6
Central Asia,685,1.1974462972264666,356.79287488190164,Peat,Urban,10.382749660555817,1255,695,44.73745674613494,27.984892352086565,1.6986462728660863,50.69078893874996,0.6
Russia,180,12.749583448761319,142.43698577739323,Sandy,Cropland,5.7865331304644485,1065,770,42.31491371751363,18.151743904348084,1.951838190472795,71.46818256,0.6
South Asia,1604,0.3053088508548807,332.9541266274977,Peat,Forest,27.55150924706429,945,694,36.76336985441256,16.707086533316215,5.342501737718584,67.26152139570621,0.8
Russia,893,21.62368830513506,22.577747432073018,Sandy,Grassland,19.88578471676872,1728,728,36.037771593078936,20.06872473118989,0.26746312495869073,66.1906478324474,0.6
Eastern Europe,607,21.591739971691766,356.2164490263241,Clay,Grassland,33.900274030267525,865,1890,26.893703302746747,27.815814762122752,3.160445717701755,60.196508172004734,0.4
Central Asia,784,19.438413635667757,299.0796937714109,Clay,Forest,8.673637460146848,1348,893,22.761884568662406,15.958901011981716,5.488965158466301,50.362539426307244,0.6
Central Asia,1131,25.438365727260233,140.07554199863222,Clay,Cropland,14.054473465134393,1695,1610,39.18117789125314,19.08330584071519,0.5745039146823585,50.78476454247003,0.6
Western Europe,518,0.5895442119177485,260.3701296752605,Peat,Grassland,8.385207857728162,1938,1329,32.37854090331348,19.920193066415877,3.783729882171794,74.14664975927997,0.6
Western Europe,814,26.240497502593637,101.24881298912621,Loam,Grassland,21.95651249219322,1446,1426,33.6428188150927,28.671037343179155,2.2749664081371774,64.61468911711599,0.8
Central Asia,768,18.178313544404897,113.94462958273401,Loam,Grassland,26.805099562918947,631,1723,20.475026976631746,24.869237942023286,3.386206461738153,74.16601463395298,0.6
Western Europe,2123,28.32551934136998,48.32397825924644,Peat,Urban,22.611050543679838,887,1824,28.026832042861805,22.59944107071449,0.46365712267610304,54.423426590802585,0.8
Western Europe,2013,17.92034561816882,204.2174422458659,Loam,Urban,34.86425466310878,1541,1274,32.00961801025008,28.800620664508678,6.631115852051952,64.21171708681962,0.4
Central Asia,2455,7.1371337199103815,42.59615948545764,Peat,Forest,16.804196663790098,788,1641,43.679619018189875,20.217766766455945,4.727270015162994,74.07195531489097,0.6
Western Europe,994,2.003654642284177,78.4760399405814,Clay,Grassland,0.8558965551903563,765,1412,32.844735095326996,14.050095850539705,0.4721581291439704,54.070948029697576,0.6
Western Europe,1633,0.6215319036212463,135.81380140201645,Loam,Urban,15.808180137143598,827,1066,33.91679282590664,17.569582164080522,4.865500639060085,84.55914666575723,0.6
Western Europe,666,4.600479382713335,140.58278269816407,Peat,Cropland,8.962668753500061,1060,1530,27.405941017325762,19.881342749540792,6.367673498167597,70.46083961911577,0.6
Russia,544,4.394469233230517,313.47599541888195,Loam,Grassland,27.34776015897176,1808,1019,38.89963973832725,23.444522762266182,5.304394368417178,72.13479157908147,0.8
Eastern Europe,308,12.849101091735504,81.38909087452697,Peat,Cropland,-2.525829979,1646,1729,34.4968052536929,20.088880839552825,2.5596846511271845,64.43827392387055,0.6
Russia,1243,22.672120689027288,292.19466238328965,Loam,Grassland,8.425435246632972,431,706,39.244464109093414,27.051602400435556,3.2537790222320355,70.63442883393415,0.4
South Asia,1916,26.90150119996997,319.42682495324135,Clay,Urban,11.192218497204255,1700,1246,27.76567205279881,22.617462340019724,5.076012333053515,68.0499209491675,0.6
Eastern Europe,2083,27.405089654831976,63.06370646785776,Peat,Forest,1.4259764120265883,1847,1525,30.80777688184984,15.118636785924247,6.368389040179776,57.09317196147686,0.6
Russia,1941,6.169843706553941,222.31181280622698,Sandy,Urban,-3.268143568,225,739,26.854112822071556,18.131870418479455,6.2240313174794215,59.69063866991641,0.4
Western Europe,292,23.197208332373,111.34049870748039,Sandy,Forest,0.2864920685271555,1069,642,36.76490933345775,10.566739186640294,1.383935460939573,83.97106023818787,0.6
Russia,808,18.760175271963504,122.7799038128135,Clay,Cropland,14.696002468010782,1263,1659,47.59127256375062,19.92736063043587,1.6118867163281534,69.08418463585417,0.6
Western Europe,670,22.541866587432036,276.3069124313266,Loam,Cropland,24.22429213479093,1841,590,33.40337892000463,23.09865213450439,6.976539327429517,54.116208078073534,0.8
Russia,261,9.965212877824293,318.4467743730893,Clay,Urban,18.43523223933458,1470,1716,23.645954058616944,26.216567493697237,2.163858645995801,51.42301672592825,0.6
Eastern Europe,1507,15.933146939756776,57.01896339276732,Peat,Grassland,7.454691135605813,596,635,33.654240251158164,24.04280594905422,2.209117773562541,64.30607287739143,0.6
South Asia,1176,17.915681863191093,280.86544648360496,Loam,Urban,14.71358847775982,362,553,27.901146037814197,28.124084398424134,2.1438934927306335,82.07315832068386,0.4
Russia,499,15.871851374567926,273.24519709655743,Sandy,Cropland,1.3244713825379728,983,1283,20.52949013685456,28.17759759363892,1.4374977437971055,76.19919810187858,0.6
Eastern Europe,1800,1.5725712547848258,61.80787286807985,Clay,Grassland,28.733815184597177,1119,1025,35.774167568593505,27.549118526953713,2.015469284395868,78.63790790362266,0.8
South Asia,252,20.53709996836113,24.962295637786355,Peat,Grassland,4.047936549281953,938,908,34.35357385019984,10.167887311681579,4.285132978799969,77.16594728844669,0.6
South Asia,1576,28.663914836206757,239.672694536341,Sandy,Forest,3.0036673229192488,1908,848,32.69786850014365,25.394190249114512,5.691517075280644,63.00832617027886,0.6
Western Europe,1268,13.388134689053858,92.77873866651596,Sandy,Cropland,27.992429721750646,1961,1077,24.169512360366756,15.598611375912517,6.428634203922625,80.77597897707211,0.8
Eastern Europe,1749,8.177432843297616,17.19073418991485,Peat,Grassland,23.146397545242653,790,939,32.689405874677135,17.009016906792564,0.32676981162514795,75.20449471203466,0.6
Eastern Europe,1616,3.6602658263220347,318.66655163822406,Clay,Forest,26.115917381216512,544,838,27.864698094506856,20.714631112767997,0.1529719106000259,73.82451465935826,0.6
Central Asia,2194,15.143367657621658,21.19097935950798,Sandy,Forest,28.620756548888934,1273,1341,43.53106901290889,24.156687863296025,4.742528515150956,64.57525126542157,0.8
Russia,1349,19.298355633682363,110.19468623178624,Clay,Forest,7.210827999833871,908,691,36.763032143862475,29.279558741676432,1.8076653440712924,85.19734023907579,0.6
South Asia,466,20.986242872863397,311.17610453352626,Loam,Forest,2.7844845112175554,703,1400,21.354543312599528,25.862962014083998,4.727210699936745,55.06821944860627,0.6
Western Europe,919,4.573279747335066,337.80190732733985,Loam,Grassland,1.3208418266916588,590,1212,28.706543863547697,29.266297469834775,3.3585495743982614,89.57960802086032,0.6
Central Asia,2366,11.110061593392471,315.7944505541432,Loam,Forest,24.594834916712497,721,1027,22.662240485404173,14.787083055249619,1.5423292153545503,65.83653681745302,0.6
Central Asia,1990,9.432461503121544,67.20393952924945,Clay,Urban,24.934564529959715,466,1803,28.085772733677615,22.121231634150377,1.354611745969419,50.50846598338387,0.4
Russia,1075,10.267467152240526,217.21477876878768,Peat,Grassland,10.121788745575282,280,1262,49.63519424055859,11.332473088241418,3.934802501460643,74.88588686027927,0.4
Western Europe,1346,3.5086238143692574,58.47963500672546,Clay,Grassland,17.043205653515955,1164,1615,28.169958701077725,26.858497525334137,4.951189652653385,84.50961151019501,0.6
Russia,242,3.6146440466763985,293.1005988865407,Peat,Cropland,7.125618152172395,1929,1495,29.482584145865786,14.286936842817505,3.316724755206318,55.964473257536575,0.6
Western Europe,509,2.603273316771162,333.73163002110783,Sandy,Forest,-4.968221856,548,1747,23.433118926926973,27.15795271095286,3.0779554010927965,68.9342839297654,0.6
South Asia,903,24.088067449171383,96.51189726142002,Peat,Forest,16.324940687431017,1815,652,42.05655809052591,25.82220543059493,6.466014605256427,62.327206123716195,0.6
Western Europe,229,22.461680521497883,295.27063352883977,Peat,Cropland,10.347982113989449,567,1817,26.64254801328766,29.66048140225105,4.73790121394286,75.01888007451927,0.6
Eastern Europe,352,3.5945852588675233,71.07732604256228,Sandy,Grassland,-2.1893193,763,670,41.08702658684203,12.922857922460055,6.7889895023908515,57.45754986700507,0.6
Russia,1101,0.4631815132844719,51.688968080522955,Clay,Cropland,30.237685478927418,795,1753,24.5396378809401,15.231742951554983,2.8019459808619303,74.72264663056374,0.4
Russia,2246,27.578710708244152,313.50407144568806,Peat,Forest,-3.159122099,989,1052,40.47304648780842,17.564672560208617,3.0890131973256394,77.26714130415087,0.6
Eastern Europe,1146,23.774972468124716,83.94272578786837,Peat,Grassland,31.78980930652176,822,1285,21.843039537718717,27.39194702329758,0.2647485483493254,77.90158264712916,0.4
Western Europe,1807,10.899412962169908,289.274856421666,Clay,Urban,28.904473343690185,1033,1618,36.248036045715715,28.532479355426748,0.9833329844412861,81.0214347802033,0.8
Central Asia,1066,7.297467838768954,302.089521499437,Peat,Urban,31.947015914156445,544,986,49.49638715309281,23.116674674737045,5.534862067144411,58.42156611718443,0.4
South Asia,2335,0.23158256634878915,326.62398643104035,Peat,Cropland,6.629573003391954,1584,1575,28.629224755906964,21.947148941431188,5.21718124683959,66.6139406553194,0.6
Russia,997,14.225183549238697,4.515238235730186,Clay,Grassland,14.37901087765674,1954,1050,38.68804463258151,23.051072429386572,3.322396317494539,54.286205351901195,0.6
Eastern Europe,2066,2.9218111623805196,297.79849025436323,Peat,Grassland,-2.769186398,1107,813,38.97533531727076,28.185496579650863,5.518708441237328,76.07566178720246,0.6
Russia,346,10.512202308019601,2.63396219054838,Clay,Grassland,-3.725779089,1661,1517,21.943069928190486,23.77792064376655,3.8598023994089434,80.02465191739279,0.6
South Asia,2434,16.85044495376272,328.26841935231045,Sandy,Urban,33.014429804687296,666,522,45.46508054703246,13.357776637494958,6.5121503797357425,68.45487038332817,0.4
Russia,252,4.1705285398720555,106.20243489177142,Loam,Grassland,31.818464102415362,934,1074,49.099415006312924,11.723538604240982,0.9877034100018071,63.40548592984329,0.4
Eastern Europe,2214,25.18291815482016,100.60750130295509,Loam,Cropland,16.924727347605764,1360,1750,28.332363966788265,27.635139657718963,2.8173110160258488,59.335028661720585,0.6
Central Asia,112,17.548176373607706,353.7482540277581,Sandy,Grassland,26.551380514785556,1776,1452,47.59512544635581,15.950507660618038,2.2571414676885273,85.47415689258827,0.8
South Asia,2277,11.367137541026425,323.03813169359586,Sandy,Forest,-4.439928833,552,1688,29.243820948879744,27.5019294277712,1.5819145631140052,84.52738127271405,0.6
Central Asia,2380,23.492235464369912,198.80114493970183,Clay,Grassland,26.013069641828945,820,1848,41.635848023925995,16.327980729402384,4.104138687701077,57.65130510660447,0.8
South Asia,779,25.210129660841755,119.18749435840398,Peat,Cropland,31.754835786141726,1329,907,45.15710911418489,10.60216572020363,0.46026609249790673,63.35886603299056,0.4
Russia,2155,10.662716076330419,10.965524871726773,Loam,Grassland,16.961235812577044,1221,1384,39.42050441381569,14.938767008909128,5.80183457782463,58.098582219235716,0.6
Russia,1368,5.196061416662543,69.9321475367122,Peat,Cropland,-1.091399711,1789,701,28.564177260979257,24.743690920019684,2.8727713428567547,65.56345953125623,0.6
Western Europe,1619,6.656490638711375,250.92729234088915,Peat,Grassland,6.216091325330485,647,1508,27.403317817842698,19.060679021078222,4.24769937923994,50.21365176681313,0.6
Central Asia,213,5.971279756363064,41.897857580489756,Sandy,Cropland,12.580860170636349,1842,1797,44.25584917149573,18.664160321808335,0.6868296943054755,77.88362827381263,0.6
South Asia,510,10.56727548661492,26.891991033646615,Clay,Grassland,27.40497605504666,909,1030,34.581237634696144,29.61094698708024,1.8398215201193893,64.012719173189,0.8
Western Europe,1238,14.64802843566711,135.7180549494992,Peat,Urban,29.5857619948383,1094,1269,20.995669315455196,12.7525369607033,3.5770667496879245,68.86163917207378,0.8
Eastern Europe,683,27.51043549177384,284.36418947549845,Clay,Cropland,11.994028240798421,778,1804,40.28996758500715,18.694530207726874,4.221900754459226,83.78629534554915,0.6
Central Asia,2401,3.1381167433264636,278.2859921004119,Clay,Urban,14.701521349393396,682,845,31.786828442627694,14.48907788315514,1.8387571346751588,52.41445838547784,0.6
Central Asia,1010,3.4712082565541227,88.76524237492431,Clay,Cropland,27.238829459259343,936,1139,45.91697942515668,25.23250913010845,3.4464312778675072,54.710075406110484,0.8
Western Europe,228,29.406437948404452,215.0720953257502,Sandy,Cropland,5.076575626868806,251,813,49.01488743269188,16.094142179863624,1.9510748212107922,73.48534392489815,0.4
Central Asia,2461,0.2783842178351037,173.94176503192418,Peat,Cropland,1.864397829694906,1321,909,46.33457835712002,21.173113415052676,5.344719359475497,52.71708642908612,0.6
Russia,835,16.10528252574776,251.74748600215915,Loam,Urban,5.726702267396583,624,1744,20.911304001126883,26.010567920436255,4.364001715244544,61.72380436832498,0.6
Russia,547,10.227399272732075,177.51341944419823,Peat,Forest,9.442391873321343,408,570,28.28925262048274,12.34211299342238,5.180979579746036,88.68893884174878,0.4
Central Asia,170,25.134066141391585,7.557183546427204,Loam,Forest,-1.429771069,821,1297,22.27694508896937,22.74120996238044,6.485178624141942,76.77075272494409,0.6
Russia,2383,28.367407958904593,73.4668515890802,Loam,Cropland,27.51125610040988,322,1239,42.01339557932474,18.476713017952186,6.419859964709452,70.04855734327958,0.4
South Asia,889,12.717572302399367,258.6809943086968,Loam,Forest,22.898418471880227,1527,558,44.18337743061506,23.526701485259995,3.7430175774204573,59.551434686882054,0.8
Western Europe,255,0.39520111187718143,306.8839060832298,Sandy,Grassland,5.5049081458429185,415,714,24.221531550359714,12.962372923956336,3.0390885809250436,55.419165212852526,0.4
South Asia,1980,28.78695105301937,238.02532441945937,Loam,Urban,11.049100409822813,892,1629,39.37281399090595,29.37050225449199,2.919493712925579,78.69188500173088,0.6
South Asia,1271,3.1022712560551557,247.8723110496195,Sandy,Urban,4.462811296343947,1412,1630,33.680445295524706,17.112740943016078,4.097395317100495,78.81736522276015,0.6
Central Asia,2313,22.54689291361606,310.03121284727865,Peat,Forest,20.36543460586474,675,726,44.01416112397034,21.142460273425712,6.308047756035248,73.20178560459594,0.6
Western Europe,2403,0.9188593193556382,123.60961672934043,Peat,Grassland,24.30878691083645,1084,892,21.517655433914634,27.360593878884348,5.794698522651652,89.93636221132313,0.8
Central Asia,1790,2.482407520784328,136.09465302109228,Loam,Forest,20.893800049876567,1057,1411,26.41917653999938,28.805246203874923,6.9932849300246565,61.56758085846012,0.8
Central Asia,1462,13.7015627937397,3.0897980804373493,Peat,Cropland,13.670411548922523,1050,1802,46.46019681487799,11.7372464201202,6.083258433911222,71.41721847297393,0.6
Russia,2473,22.331072793179754,85.30874489539292,Loam,Urban,22.519790539900605,1171,898,49.15157751229482,26.283432953821382,0.7260492303742881,66.34354691460591,0.8
Eastern Europe,1348,18.545987388300517,62.91455641187127,Clay,Grassland,-4.274064542,1742,893,42.38939724778351,25.21124226909209,4.234500390116287,77.22395818360282,0.6
Western Europe,2271,19.216809395465077,235.48796901262853,Sandy,Forest,20.67494358357292,1379,1404,43.686978570004186,29.03223974215837,1.8610177136586659,53.440564369936794,0.8
Central Asia,2373,20.232487099659792,135.63505941757032,Peat,Grassland,23.026086323541165,1461,1002,22.228717070124866,11.113286054308515,0.2674561248305235,78.51062725076098,0.8
Central Asia,325,5.134544915261207,121.42574650906116,Peat,Urban,21.463489687359612,1536,1706,33.00327568717359,20.67887166233271,0.1533452182389391,58.46520640075749,0.8
Eastern Europe,2382,17.564112686665887,319.37669132803325,Loam,Cropland,3.3326958401378715,813,1145,35.0891192307525,15.737651019011395,0.20941872019523322,89.3274140421911,0.6
Central Asia,1181,2.456391525715831,317.6058490636056,Peat,Cropland,0.7065730484917454,513,1386,36.73572581415603,10.759561550162468,5.902685082975571,85.33231023097952,0.6
Western Europe,457,27.107607453072685,146.20076174859008,Sandy,Cropland,24.690155010311766,1825,1778,35.6734333427841,14.98855825569628,3.9319607697226044,72.3550418395393,0.8
Western Europe,1696,20.32936226265493,138.8077579916584,Sandy,Forest,14.1784272812329,1222,1750,43.664941151345275,24.741649457668395,5.84757598924304,84.46221696663838,0.6
Central Asia,1594,9.989508406411506,265.37858927820787,Loam,Cropland,-3.508533599,1645,801,46.79579526734182,12.531507662926774,5.593319260907913,59.331428054678646,0.6
Central Asia,1836,18.86311783915967,239.3757020154003,Loam,Urban,11.974046394213612,1087,751,48.711469566608706,15.237368402945863,2.311084888329562,65.1476531157614,0.6
Central Asia,1544,27.912806150821492,67.50785618968763,Peat,Forest,27.7905877252176,1504,708,28.288922909489393,21.07852855091995,4.816631866481601,56.78645975916482,0.8
Central Asia,414,15.722623872522792,188.8265320745756,Sandy,Cropland,20.71315153716812,527,1472,26.53120893895693,13.028694001582451,6.245199621450828,84.19236064484983,0.6
Central Asia,130,13.336955645240367,307.8641068833479,Peat,Grassland,32.54856914788102,1424,1850,29.21779326209429,17.326244668753905,3.8966363969322098,80.87655563982653,0.4
Central Asia,1054,25.018641895570017,320.735111674498,Loam,Grassland,29.838257903888774,1347,1257,41.18314518016216,28.606818884755622,2.6158388401013317,74.47057786022262,0.8
